feature_set,n_features,C,penalty,class_weight_name,auc,pr_auc,top30_cutoff,top30_flagged,top30_precision,top30_recall,top30_balanced_acc,outer_fold
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.8691756272401434,0.7610253730943386,0.3858397963132071,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,26
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.8655913978494624,0.7205636955636956,0.44136844569507916,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,26
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9086021505376345,0.8202380952380954,0.33649035836353947,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,27
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9086021505376344,0.8028735632183908,0.37623744664796455,23,0.30434782608695654,0.7777777777777778,0.7598566308243728,27
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9032258064516129,0.8182037496553627,0.26081877449637236,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,27
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9894179894179894,0.9278138528138529,0.21924802510664076,22,0.4090909090909091,1.0,0.8968253968253967,28
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9876543209876543,0.9170113836780502,0.2939905484501613,22,0.4090909090909091,1.0,0.8968253968253967,28
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9841269841269842,0.8865881032547699,0.3691889566198873,22,0.4090909090909091,1.0,0.8968253968253967,28
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.985663082437276,0.9477124183006538,0.26745107622572717,22,0.4090909090909091,1.0,0.8951612903225806,29
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9767025089605734,0.9343434343434345,0.35220691622604555,22,0.4090909090909091,1.0,0.8951612903225806,29
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9713261648745519,0.9182098765432101,0.4082030121378306,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,29
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9139784946236559,0.8005662303907919,0.430292748037012,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,30
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9050179211469535,0.8118977892621304,0.31020144282104306,23,0.30434782608695654,0.7777777777777778,0.7598566308243728,30
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9050179211469533,0.8128507295173963,0.3597730987156633,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,30
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.8709677419354839,0.6620155806430317,0.4083624043537271,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,31
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.8530465949820788,0.6689516129032258,0.3549543648688876,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,31
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.8458781362007168,0.6992202729044834,0.3084492158131129,23,0.30434782608695654,0.7777777777777778,0.7598566308243728,31
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9065255731922399,0.7943969610636277,0.3095237535280469,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,32
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.8994708994708994,0.7884640051306717,0.24578841745709887,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,32
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.8977072310405644,0.7713403880070548,0.3835702559843339,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,32
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9336917562724014,0.8516339869281047,0.39193108932656734,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,33
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9229390681003584,0.8472222222222223,0.33837666165514874,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,33
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.921146953405018,0.8451058201058204,0.26925555431722775,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,33
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9569892473118279,0.8515079365079365,0.2340997239429007,24,0.3333333333333333,0.8888888888888888,0.8154121863799283,34
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9551971326164874,0.8499694749694751,0.30658965668788557,23,0.34782608695652173,0.8888888888888888,0.8234767025089605,34
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.953405017921147,0.8177287017866728,0.3671266369187308,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,34
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9874551971326165,0.9513888888888891,0.2562295225755172,22,0.4090909090909091,1.0,0.8951612903225806,35
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9838709677419354,0.9291666666666669,0.33393044755923623,22,0.4090909090909091,1.0,0.8951612903225806,35
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9731182795698924,0.8814555327713223,0.40284327329184444,22,0.4090909090909091,1.0,0.8951612903225806,35
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.8800705467372134,0.7498259537733223,0.31538667548658006,23,0.34782608695652173,0.8888888888888888,0.8253968253968254,36
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.8747795414462081,0.7416666666666667,0.35111000848728935,25,0.32,0.8888888888888888,0.8095238095238095,36
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.8712522045855379,0.7317620650953984,0.3959644858026015,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,36
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.985663082437276,0.9477124183006536,0.2789945274879961,22,0.4090909090909091,1.0,0.8951612903225806,37
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9802867383512545,0.9388888888888889,0.3605651070758055,22,0.4090909090909091,1.0,0.8951612903225806,37
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9695340501792115,0.8901515151515151,0.41883235773389316,22,0.4090909090909091,1.0,0.8951612903225806,37
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9193548387096775,0.8420661464139727,0.349303518210804,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,38
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9157706093189965,0.8134199134199136,0.39162776452364007,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,38
