device_label,split_segment,channel_segment,early_tracked_events,early_actions,deliberate_share,later_active,logistic_selected,complement_nb_alpha_0_1,complement_nb_alpha_0_5,complement_nb_alpha_1_0,bernoulli_nb_alpha_0_5,bernoulli_nb_alpha_1_0,gaussian_nb,decision_tree_depth_1,decision_tree_depth_2,extra_trees_shallow
D055,고밀도+의도행동 적음,토스 관측,29,4,0.1379310344827586,False,0.4643394559981519,2.43737334417042e-06,2.108375559888947e-06,1.7870034910822078e-06,0.9961331481660107,0.9927085325695763,0.4457340532350775,0.5096603999532084,0.5225253930545946,0.42679296682828727
D056,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.16468410735316535,0.00010877027288573424,0.00010918666287806873,0.00010971719134395885,1.2090293395039139e-06,3.377472594056677e-06,7.255987816973079e-12,0.08874360265310104,0.007272727272727273,0.14481602470663216
D057,저밀도+의도행동 없음,토스 관측,18,0,0.0,False,0.24299823168129972,2.0864469429632095e-09,2.1540398021629128e-09,2.2183195933213972e-09,0.0037539343031743346,0.0026574427342114016,0.00022403002002012538,0.3709767206494046,0.26855851671926056,0.30222021353764417
D058,고밀도+의도행동 많음,토스 관측,26,7,0.2692307692307692,False,0.07689554823655657,0.03874195915854167,0.03944396301168221,0.0399849429561483,0.4752593627569016,0.42629363081054883,0.05841193372388791,0.2201745597823808,0.19070162552267816,0.3589431266714739
D059,저밀도+의도행동 없음,토스 관측,13,0,0.0,False,0.28188430635826295,1.455316129468662e-07,1.6146976806794648e-07,1.7856608533931227e-07,0.000804790965138824,0.0005706354598754947,0.003556517834440214,0.08822588229728671,0.05406719548554292,0.22921340875260188
D060,저밀도+의도행동 없음,토스 관측,18,0,0.0,False,0.24601372941132738,1.840193752842788e-08,1.8813423252976445e-08,1.904537982851962e-08,0.004857531145831939,0.0033659685840918083,0.00021399678246245276,0.3922331434400998,0.310361102627221,0.30203515012558524
D061,저밀도+의도행동 없음,메인·웹만,8,0,0.0,False,0.5057866769814763,2.1555815712977063e-05,2.1691078275672605e-05,2.185933074320428e-05,6.154875999911144e-06,9.159415013110291e-06,3.618364593426062e-08,0.6252410500744102,0.6525009808570313,0.23576898871709343
D062,저밀도+의도행동 없음,토스 관측,12,0,0.0,False,0.054181236163158265,5.323894189938074e-09,6.5615399049349836e-09,8.248132441286195e-09,0.0001456061859627525,0.0001361258636576786,2.3153581728926315e-12,0.081355905948639,0.021370533451846613,0.21873329334985597
D063,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05815663232496642,0.00034278166356547547,0.0003436865911096451,0.0003448679077077924,3.379814842635293e-07,1.0059292118518434e-06,4.922878935898918e-16,0.08683922467380084,0.00291005291005291,0.11221696450644926
D064,저밀도+의도행동 없음,토스 관측,12,0,0.0,False,0.20087147928606416,4.3533792796649745e-07,4.869118331784237e-07,5.422002496759768e-07,0.0007841323391411327,0.0005592220116871582,0.0019243754264241528,0.07889958318790267,0.001379310344827586,0.22680904839817032
D065,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.23445906525683405,3.8633915118742714e-05,3.84567210298205e-05,3.827895855036491e-05,0.0003358958828668201,0.00025195134289350877,4.322587691790132e-07,0.10360315431556084,0.11175881797618609,0.24309486427506344
D066,저밀도+의도행동 없음,토스 관측,16,0,0.0,False,0.1966520792479461,1.0313126781269003e-08,1.1060963673130028e-08,1.1878192950198401e-08,0.0006950836424747998,0.0004912743029478568,3.1211620043479906e-07,0.09793976488881506,0.016235404829405043,0.2513221069727596
D067,고밀도+의도행동 적음,토스 관측,61,5,0.081967213114754,False,0.7244537133631554,1.2544402721942416e-09,1.6168072137865581e-09,2.100336853610881e-09,0.9969859414692133,0.9964756159765445,0.6599881661255967,0.764660365868665,0.7074245331182949,0.5226267413989785
D068,고밀도+의도행동 많음,토스 관측,90,38,0.4222222222222222,False,0.5099493123814216,0.8993452262805485,0.9000155124473593,0.9343634712390532,0.9999907051834501,0.9999863095286874,0.8999999999999762,0.8083962915309227,0.857261648378659,0.6815794212123497
D069,저밀도+의도행동 없음,토스 관측,11,0,0.0,False,0.2093173497829747,1.7109007466754513e-06,1.8118462436675277e-06,1.9153423563337924e-06,0.0007531096533842403,0.0005483874718250316,1.717864557082136e-07,0.09426924273054418,0.012802275960170697,0.2311337629456464
